Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
33.11896,4.9677906,68.3355,-1402.0,-0.12835151,0.05123472,-0.034494217,0.03244686,1.0779061,0.005335983,-0.013291599,13.967314,0.6881518,-0.16383299,-0.03098679,0.08729705,0.8542806,-0.0017804606,-0.023202248,0.05249552,-0.059850924,-0.045070753,1.0729027,-0.13752355,0.0114610335,-0.03691831,-0.05306968,0.060181834,0.9970332,1.0105458,15549.57,175.1205,2178.851,1492.9636,433.1874,1514.4913,0.0007897892,13.022957,263485.72,BENIGN
36.47061,3.3305438,96.7355,3755.5093,-0.0040991697,0.065357916,0.011418023,0.2078923,1.0065572,-0.022256184,0.002919773,8.912832,0.7388563,-0.08367762,-0.06981808,-0.055089988,1.0360659,0.058696844,0.03400539,0.029844986,-0.030723726,-0.032347918,1.0270993,-0.009425789,0.003285415,0.018431151,-0.040689655,0.012804557,0.9807048,0.98996717,-241.41504,84.01393,1488.3232,635.5681,537.5734,643.18726,0.015011292,7.216858,326726.84,BENIGN
29.701836,3.4247284,138.83914,-1765.4956,-0.060830954,-0.006789621,0.04609581,0.16173087,0.9877842,0.012907651,0.029602356,16.202377,-0.10958004,-0.2843549,0.12434915,0.07243501,0.58174783,0.023350233,0.03802827,0.033392742,-0.029435737,-0.0355855,0.9534682,0.016962737,-0.017361484,0.069139384,-0.0071520866,0.022456879,0.9538553,0.92582124,-4270.96,64.27731,350.80383,156.88536,168.53748,133.74527,0.018094724,5.0331955,54254.254,BENIGN
31.43974,5.4242287,109.505714,4.6240234,0.0034909695,0.0035807677,0.04820972,0.24252422,0.94303304,0.010761632,0.011858811,10.471449,0.19751716,0.27487385,-0.11648237,-0.19001119,0.9506092,0.09442716,-0.011141486,-0.061490964,-0.046168797,-0.026822802,0.8246133,0.12287366,0.033530876,-0.018943863,0.017686322,0.0036543794,1.0048068,1.0133427,4624.094,96.53692,1425.5022,659.26483,466.34964,585.9354,0.014318528,4.0809784,263124.75,BENIGN
49.177986,1.0409188,91.82164,5678.306,-0.09845889,0.0326067,-0.022331726,0.08477075,1.5278616,-0.002306971,0.037900038,32.828682,0.5558867,-0.15985696,-0.01591967,0.4160298,0.9662701,0.020547548,0.060515612,0.09344737,-0.08724444,-0.0030566612,1.4753296,-0.40504435,0.048329376,0.029164303,-0.07990679,0.007853442,0.9453851,1.0004436,21414.613,140.9492,3300.2415,1885.2992,961.7481,1915.1677,0.0004250281,9.386986,966381.75,BENIGN
30.308378,6.7094264,119.94997,61.3916,0.0006181281,0.021376772,0.00886334,0.38948905,0.90438825,0.02980643,-0.006309084,9.468831,0.24051629,-0.19407582,-0.013058221,-0.07832241,0.8917346,0.04659241,-0.028902052,0.011003338,-0.0018147379,0.013082011,0.84352374,0.1487123,-0.0036408007,0.026015848,-0.03464873,0.03165611,1.0213538,0.99134207,5818.2114,72.23645,2438.643,877.5378,846.67737,894.4983,0.0055583897,7.372734,596640.4,BENIGN
32.737736,3.3679562,129.8639,789.16626,0.01077013,0.043206006,0.048284378,0.037766,1.0966374,0.00060582126,0.037609007,13.57661,0.8407918,-0.21550557,0.26679543,-0.1756549,1.1661444,0.008740052,-0.028572526,-0.029599626,-0.03798635,0.03678186,1.061809,-0.086504586,0.065414526,0.11512475,-0.051972773,0.079699606,0.9052134,0.89896154,7722.949,63.089397,2948.3591,729.7635,900.1515,709.44336,0.016913291,2.2649384,807518.5,BENIGN
23.241255,10.180728,82.53565,-683.32227,0.056434512,0.012109057,0.029773109,0.050864816,0.5604114,0.019079573,-0.04259177,5.3219237,0.26364914,0.119205825,0.012157186,-0.13195091,0.6362595,0.13016967,0.010766284,0.022556301,-0.009948109,-0.031159323,0.49224186,0.44647768,-0.011604764,0.005189299,0.031776663,0.02196426,1.0452628,0.9819807,2370.5159,79.46767,1447.7491,584.5141,518.4962,567.41,0.015947843,3.3049927,290237.8,BENIGN
31.442028,4.254098,68.910904,3145.1694,0.00358806,-0.0043368866,0.05888138,0.20322017,0.9518064,0.020509332,-0.007442594,9.659012,-0.25765085,0.12452192,-0.20143361,0.11170659,0.62090844,0.03748347,0.052013166,0.11067673,-0.015293387,0.03469046,0.8773957,0.020713467,-0.0030900468,0.07036742,-0.06591229,-0.02801844,1.0199655,0.9305283,7266.3906,64.78855,2012.4983,601.7399,817.97925,574.0008,0.009687359,5.6438446,765616.75,BENIGN
32.818516,5.0483656,65.65322,976.4204,-0.06634831,0.017390436,-0.019824093,0.21368013,0.9831112,0.0013809867,-0.006499912,10.342061,0.5137007,-0.33997846,-0.0628352,0.0938901,0.7392562,0.023893759,0.009896675,0.034714255,-0.024966855,0.033841394,0.99981076,-0.030094694,0.010379302,0.04683953,-0.051569097,0.050040036,0.9827514,0.930861,4275.3125,65.40891,1851.3226,749.215,668.8693,749.23553,0.0056051253,6.6000977,464190.16,BENIGN
