Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
21.866373,6.9406686,106.07634,3072.3945,0.15871479,0.047781173,0.02665343,0.20686188,0.61881405,-0.07001255,0.018374072,4.2770042,0.69438815,0.6500996,-0.03837551,0.061406758,0.10783906,0.1755791,0.0026985118,-0.0072268206,-0.0003643846,-0.059491783,0.6734412,0.28291953,0.02708831,0.09106047,-0.042658724,-0.018559474,0.92394376,0.9248775,-443.1631,61.589005,843.11584,275.9006,239.72931,312.6646,0.02670927,0.8667145,73252.08,BROWSERHIJACKING
27.412422,9.062761,65.62179,41420.06,0.021300932,0.05083725,-0.04153486,0.20383452,0.6554669,0.03703754,0.005373608,8.885801,0.68582904,0.07197362,-0.19876622,0.02627365,0.29410344,0.049795363,0.024824368,-0.03156926,-0.063671425,-0.0719879,0.7230474,0.19781598,-0.038121916,-0.0773546,-0.03240197,0.045732763,1.1028688,0.96008164,14499.573,176.55896,1974.6748,1424.861,487.00726,1408.1293,0.00013957804,12.587082,437411.12,BROWSERHIJACKING
17.662249,10.756096,71.95853,-8079.2173,0.029280206,0.023335591,0.035965253,0.058496483,0.42344162,0.036961373,0.015790734,4.472736,0.8752447,0.1822683,-0.13919179,-0.08259544,0.12619597,0.15300569,-0.030457443,-0.017309273,-0.008544604,-0.015651306,0.40781415,0.5537906,-0.015585255,0.058681823,0.00030668452,-0.0071683987,0.9679579,0.9258507,-1745.2949,67.54076,433.59607,255.49844,123.25548,231.35199,0.012614153,4.670105,13457.768,BROWSERHIJACKING
19.364113,11.783121,67.21107,220989.95,-0.008452441,0.0037086604,-0.06280775,0.25210258,0.41062763,0.021026231,-0.0044408557,5.160357,-0.0056426227,-0.26238745,-0.061227545,0.0014873315,0.036293175,0.058443807,-0.0344926,0.033646468,0.046039008,-0.058417417,0.41301942,0.55014974,-0.021251447,0.05791848,-0.076190695,-0.016573096,1.0733304,1.0622438,3788.5698,61.26248,612.52637,325.35803,123.42124,332.71375,0.0008465192,10.651367,17358.96,BROWSERHIJACKING
29.30738,6.8046236,82.74341,2629.5298,-0.02528042,-0.0022062687,0.0094789285,0.29991528,0.7522877,-0.005102991,0.050333865,8.728508,-0.41353858,-0.038107626,-0.101380244,0.19399552,0.27788144,0.07861148,-0.009055118,0.0012834975,-0.002996209,-0.058466516,0.7513063,0.19588041,-0.032219563,-0.040912796,-0.0150011685,-0.010688351,1.0746975,0.9977488,15237.332,91.642746,2006.812,1045.3457,746.5904,1013.4019,0.004312715,10.2519,541494.75,BROWSERHIJACKING
20.19883,7.702363,93.7432,541.39795,0.0160064,0.02294647,0.011744165,0.08135348,0.5156368,0.03317611,0.034952223,5.4341416,0.5717444,-0.14164323,-0.048332084,0.020496096,0.18443213,0.13112016,0.03828829,0.08109273,-0.06249086,-0.05713106,0.56141245,0.34585413,-0.037759274,0.18508208,-0.008236914,-0.017366666,0.96405375,0.8552661,-2197.6348,62.223846,462.11963,271.30963,162.5675,294.91647,0.02728298,-0.73641205,46728.355,BROWSERHIJACKING
28.050062,6.336468,69.058655,4960.114,0.06321234,0.04253989,0.010139431,0.2146931,0.6830343,0.030637423,-0.0059376634,7.894286,0.5758247,0.11403826,-0.0671279,0.15393628,0.2379866,0.047737144,0.012230259,-0.001953356,0.026249327,-0.04303579,0.76884925,0.21445668,-0.0052935607,0.027527435,-0.051555432,-0.017305665,1.0462286,0.98438,5683.139,68.00411,1945.9058,660.40063,743.3453,692.5617,0.0033682347,12.510727,668144.2,BROWSERHIJACKING
33.107086,3.3795176,62.785004,3732.2344,0.0860941,0.10571026,0.04189992,0.38624188,0.93794185,0.06581826,-0.025808252,8.687481,1.1574227,-0.050598323,0.0638203,0.24601725,0.13768747,0.03926734,0.012849838,-0.050373696,0.04221188,-0.007065348,0.9545988,-0.035458736,-0.0026859087,0.019092958,0.01255589,0.020842792,1.0022674,0.98439157,10167.925,74.57848,1380.8834,742.24274,540.1156,815.6692,0.002483846,-0.8450928,317219.7,BROWSERHIJACKING
36.782265,6.745376,90.78955,19081.152,-0.013540786,0.07586806,0.0014974875,0.21073936,0.80176896,-0.00049768365,0.07612395,8.131999,1.1018283,-0.36431617,-0.31063205,0.34855694,0.23426913,0.09886934,-0.026637765,-0.019789843,0.024919841,-0.016373623,0.88426715,0.11930472,0.012550034,-0.045424044,-0.022043893,-0.04010453,1.052552,0.9632831,789.3911,114.6488,1944.86,1261.151,646.559,1231.3234,0.0006486282,1.2980423,682104.9,BROWSERHIJACKING
26.009563,5.6875973,113.35548,5337.0376,0.0395577,0.1438803,-0.019835338,0.039856266,0.619982,0.0136006605,0.044070415,5.7755218,1.4105903,0.0214398,-0.019026691,0.110253796,0.0734182,0.11789377,0.054536123,-0.01721023,0.013662811,0.05457366,0.734128,0.18938439,0.010050601,0.0604103,-0.0009775814,-0.02997629,0.96129596,0.9399992,-3634.4766,62.55688,308.29395,136.81358,69.434204,131.71692,0.007823284,2.3788147,20836.854,BROWSERHIJACKING
25.796354,5.016529,59.589535,57726.42,0.19573513,0.007224115,0.036193073,-0.04319709,0.80180573,-0.015033476,0.039799888,6.3484163,0.5782673,0.6780511,-0.28240466,0.11815311,0.11287333,0.083942555,0.06643984,-0.033528686,0.013664158,-0.057121903,0.79968286,0.15149187,-0.01119838,0.09389603,-0.05434441,-0.049166292,0.9651637,0.9231002,-4143.3613,60.051308,349.77313,361.3601,97.342834,345.01544,0.0037600205,5.153595,26286.23,BROWSERHIJACKING
26.536095,8.280082,70.554245,96023.74,0.0020819344,-0.014899093,0.06261973,0.30369616,0.6945737,0.0018530042,-0.01472399,6.128095,0.17267975,-0.29204434,-0.29351324,0.16391067,0.06559974,0.14422652,0.008349241,0.013114784,0.040152747,-0.08653493,0.703896,0.31029937,0.00043656677,0.0609239,-0.034360617,0.013849942,0.99258196,0.9395057,8010.968,74.135254,1728.6978,835.4594,589.0815,809.6987,0.0076467926,5.213417,546123.0,BROWSERHIJACKING
24.007584,6.1985383,92.66759,3422.8032,0.011509931,0.060349654,0.044841304,0.11625773,0.6204008,0.03288471,0.040450376,5.726364,0.43827084,-0.11741373,0.035872336,0.13305607,0.22631799,0.09126693,0.041921407,0.005604434,-0.0026794197,-0.041536357,0.7527065,0.21446046,-0.032672964,0.049015995,-0.012773037,0.017211813,0.98102695,0.91248196,-2240.3975,60.56975,147.71048,141.23734,57.031166,147.16203,0.008545745,5.9542313,7444.833,BROWSERHIJACKING
19.397526,9.494032,126.01864,23879.996,0.14339647,0.09465432,0.036003083,0.056418378,0.36419007,-0.044212572,-0.0041583274,2.689869,0.8547528,0.26387733,-0.038073108,-0.059082285,0.18102668,0.1673889,0.06780482,-0.044406522,0.011720098,-0.02553788,0.45524037,0.45467457,-0.036484916,0.08397101,-0.0048816996,6.677583e-06,0.96317166,0.8881973,605.36426,59.755558,1265.904,312.14066,433.70233,392.2442,0.02944807,5.386528,246645.86,BROWSERHIJACKING
