Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
0.28869438,0.9834013,61.90066,-2278.8984,-0.003074957,0.018734902,0.019269994,0.013019477,-0.058574915,0.034617126,0.0012406241,-0.145033,1.1055189,1.1373787,0.0016967766,0.003905315,0.014123968,0.049756,0.014339734,0.018834759,-0.016132176,-0.0002673408,0.030617654,0.04764259,-0.029745892,0.03648358,0.8569998,-0.023621766,0.9802502,0.9554787,79718.055,60.190136,1195.1721,743.6888,533.1916,759.4051,0.0011364906,101.24488,297020.97,DDOS-ICMP_FRAGMENTATION
0.881094,1.9635925,68.39908,-691.0029,-0.047097016,0.01855184,0.063275434,0.08016285,0.08297395,-0.0069475034,0.02297353,11.79594,1.1232971,-0.16611627,2.1676865,-0.056893397,0.013311326,0.035645086,-0.008584884,0.047729723,-0.0086589195,-0.018359393,0.10766095,0.042228516,0.046706084,-0.0020644465,0.7217026,-0.018184878,1.0032223,0.98309404,85821.29,81.4804,1843.5784,899.3069,620.5755,891.4454,0.00095839374,103.54179,371893.66,DDOS-ICMP_FRAGMENTATION
-0.7020855,1.4594355,64.72478,2186.2153,-0.006505903,0.010848651,-0.0019980315,0.0017346792,-0.035490766,0.01437895,0.028459681,-1.0297463,0.4468357,0.039720315,-0.061793208,-0.094405815,0.032798514,0.012013166,0.016507369,-0.014113614,0.023347612,-0.030654034,0.001635611,0.016424244,-0.037286293,0.03215302,0.9617685,-0.010243178,0.97672033,0.9563749,98001.086,86.66996,1666.3375,1026.7495,690.2561,1064.4321,0.0005151446,107.26717,410229.88,DDOS-ICMP_FRAGMENTATION
1.7126484,-0.18784142,64.14079,2202.5356,0.0047314074,0.025869532,-0.0007888465,0.03045646,0.011957472,0.020893326,0.030290723,2.9059052,1.7823468,1.4609907,0.03867272,0.042245917,0.02450487,0.03353382,-0.008009732,-0.0075323316,-0.004938983,-0.0039373105,0.05762756,-0.040503647,-0.038128827,0.0408564,0.943092,0.011968542,0.9710507,0.96055156,91763.266,61.485268,1467.7374,882.6041,609.90326,902.88464,0.000545484,104.39707,352776.25,DDOS-ICMP_FRAGMENTATION
1.1237888,0.4241085,66.03564,4934.6187,0.025481287,0.025723873,0.0007647881,0.079208575,0.055337645,-0.0004736305,0.053562693,5.741209,1.6856654,2.1078188,0.04883302,0.032363553,0.0017042082,0.058393665,-0.0026407465,0.0020481832,0.0046716724,-0.017013244,0.09306252,-0.028350336,-0.009471977,0.012554206,0.8814132,0.01979516,0.97331214,0.9624355,98999.8,71.758514,1964.3472,1033.5752,743.80444,1056.6431,0.00032383332,102.83947,467476.62,DDOS-ICMP_FRAGMENTATION
1.0869923,0.813272,62.28307,-1822.645,-0.030984182,0.067126505,0.008532651,0.009282678,0.022933435,-0.014888249,0.056881957,3.1054804,2.3984308,0.028435942,-0.064692214,-0.06872943,0.010395364,0.061370242,0.020944022,0.043724075,0.018973485,0.017220676,0.07780522,-0.0006901771,0.01970522,-0.0036242185,0.81549096,-0.032248974,0.967159,0.9519862,85783.54,91.18074,1791.8031,853.885,648.6811,891.73364,0.0009613139,100.55534,402747.25,DDOS-ICMP_FRAGMENTATION
5.6295233,1.6054187,69.28285,404.94434,0.006319331,0.0049452754,0.006442268,-0.006037271,0.17241813,-0.025289163,0.05554344,7.380443,0.1651049,0.024719339,-0.0449281,0.06820575,0.00076395826,0.026867855,0.03740576,0.040471755,0.0060128653,-0.04675675,0.19287163,0.008454552,0.0045524095,0.0068170642,0.6932265,-0.03699347,0.99486166,0.9778546,87433.04,73.89416,2036.1346,955.2517,744.7119,938.91235,0.0010380239,96.18364,478374.47,DDOS-ICMP_FRAGMENTATION
1.7545166,1.0736008,62.15335,312.35693,-0.05109907,0.020629723,0.014669739,0.044021096,0.04529416,0.013892522,0.040571712,4.764891,0.4974642,-0.18343616,-0.041831877,-0.014679136,0.00674092,-0.006649103,0.011618157,0.0037579844,0.018921055,-0.025644412,0.08374071,0.010854161,-0.026967067,0.028372161,0.85329825,-0.013799135,0.97512585,0.942638,89974.4,60.980755,1648.3517,914.6251,644.42065,925.3518,0.0014442925,100.426216,380312.5,DDOS-ICMP_FRAGMENTATION
0.46647263,0.33256912,59.727123,-210.97461,-0.040462483,0.051871415,0.02440422,0.036756326,-0.017271288,0.025811289,0.011254219,1.3167471,2.1460083,0.2441133,-0.048269574,0.002782531,0.015123079,0.043728467,-0.0040692603,-0.0055993116,0.01940592,-0.00087259803,0.05724913,-0.0069422363,0.011147788,0.024178602,0.8846867,-0.007988754,0.96727973,0.9578806,90412.09,65.92003,1687.5007,855.2021,674.33295,905.5216,0.0008523768,102.39343,379733.94,DDOS-ICMP_FRAGMENTATION
-0.66659546,1.0088234,63.39325,-458.2505,-0.037851635,0.04937148,-0.0022456236,0.006666105,-0.023456885,-0.027188871,0.036419116,-0.5957831,2.5680156,0.010189078,-0.16411254,-0.14591062,0.1043122,0.026155472,0.03276513,0.007862397,0.0070678624,-0.041146822,0.01775223,-0.017939713,-0.0058972053,0.02004928,0.9497887,-0.015373142,0.9433744,0.93695813,87474.12,88.68771,1646.0264,896.92535,674.5691,977.0524,0.0010962307,106.05791,401579.12,DDOS-ICMP_FRAGMENTATION
