Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
21.27266,5.9929624,62.817215,36306.066,1.0513587,-0.009673378,0.92729455,0.014665193,-0.06245002,0.07187435,0.049257547,-1.7669845,-0.47608906,19.906069,19.842451,0.063551545,0.1500685,-0.119120546,-0.026517052,0.0114637185,0.014850145,0.031888314,1.0223185,0.0059571955,0.023119366,0.043375008,-0.023899183,-0.03767176,1.0627854,1.0124232,7760.1914,61.17428,143.2012,61.556206,57.049435,44.944748,-2.8496332e-05,103.5123,23928.607,DDOS-RSTFINFLOOD
21.074713,6.960946,65.172005,36354.273,0.9867004,0.006139125,0.9238821,0.018375669,-0.018485324,0.024797589,0.040360786,-0.08684325,0.15228668,19.769194,19.801582,0.041708045,-0.016151076,-0.032706458,0.008761719,0.020876646,-0.015856197,0.025735945,1.0566381,-0.024579493,0.007626379,0.0031374174,0.009393519,-0.027320694,1.080816,1.036121,11056.783,61.566162,135.01456,138.58607,44.23913,81.51763,9.427284e-06,99.23964,18934.639,DDOS-RSTFINFLOOD
22.753668,6.4437404,64.13212,32035.4,1.0412099,0.003923124,0.86756146,0.013500446,-0.013829885,0.044186752,0.06861829,1.9510169,0.12172796,19.88963,19.48606,-0.0075014397,0.1285038,-0.11532295,0.032954525,0.024185946,-0.055446666,-0.028916663,1.1290276,-0.016652463,0.023073781,0.037523557,-0.07772784,-0.013298027,1.0961219,1.0019907,10304.949,61.743725,447.0357,93.85183,80.235565,93.70246,7.4852884e-05,103.59941,43168.664,DDOS-RSTFINFLOOD
22.491402,6.777877,62.95455,19127.234,1.1451442,0.025010137,1.0111687,0.060341503,-0.09630762,0.1046234,0.0484375,-0.9217293,0.9419015,19.926645,19.83072,0.07463807,-0.0001608301,-0.0094242105,-0.02514665,-0.0071236487,0.044272974,-0.021029823,1.0629712,-0.015855787,-0.00798772,0.04814844,0.029473526,0.025609568,1.081791,1.0504432,14613.894,60.9836,263.75055,124.046585,102.28201,71.9443,4.692469e-06,100.683395,37824.242,DDOS-RSTFINFLOOD
21.657867,5.7808795,64.47484,39873.094,1.1457063,0.027241636,0.97664917,0.0060928836,-0.06458969,0.05117437,0.08945663,-0.92156124,0.7822713,19.934126,19.870129,0.022374034,-0.024054386,-0.01626611,-0.04922487,-0.008773249,0.03249543,0.04609192,1.0982833,-0.011306794,-0.025754094,0.041328747,-0.038113967,-0.009410278,1.1146542,1.1037828,6582.454,61.14562,20.540176,137.5518,44.393112,29.389961,-0.00022707674,101.48929,13237.102,DDOS-RSTFINFLOOD
21.51435,6.5403585,63.301674,25736.352,1.0072254,0.00997807,0.87095857,0.041993905,-0.008384557,0.0639742,0.03369691,-0.4867438,0.0991855,19.846731,19.570995,0.097989105,-0.02796835,-0.036257043,-0.0065890886,0.0039582094,0.015098544,-0.01282078,1.004827,-0.015584595,0.013533374,0.045699537,-0.008622342,-0.014901131,1.0378654,1.0008469,8656.438,61.16214,-19.715012,52.43792,10.177281,26.921577,2.1792963e-05,96.56992,876.9785,DDOS-RSTFINFLOOD
20.348093,6.0851717,63.35631,36124.574,1.1152155,0.010891613,1.0489465,0.0103175165,-0.09078151,0.071674235,0.09990368,-1.1359577,0.07303252,19.922392,19.860998,0.04666295,-0.01054055,-0.04142099,-0.02346188,0.01105294,0.027367676,0.012299022,1.1012286,-0.014680629,-0.012729565,0.057253372,-0.04011877,0.04826819,1.0736581,1.0113351,5551.6978,61.642006,-38.219696,108.3893,46.566074,39.48374,-8.370356e-05,101.99989,3631.1377,DDOS-RSTFINFLOOD
21.483103,5.712245,60.549164,25603.037,1.0268734,0.011941388,0.92723536,0.028323073,-0.046224378,0.097132206,0.062507845,-0.80858016,0.10005021,19.83088,19.678873,0.114054315,-0.0006020423,-0.023639958,-0.013700623,0.0015842263,0.016837806,0.006348961,1.0360767,-0.02466513,-0.007615977,0.061329495,-0.016037684,-0.020635186,0.99303746,0.977768,7698.596,61.570072,-151.03812,66.15082,-15.893322,27.54206,-0.00015228208,95.17195,-12189.712,DDOS-RSTFINFLOOD
24.006008,6.4076366,80.414734,19341.123,1.0961547,-0.0121775735,1.0095724,0.027446339,0.022930423,-0.023739787,0.035460774,-0.6121298,-0.2326618,19.905632,19.949392,0.14423221,-0.023384066,-0.09347118,-0.09993005,-0.089925595,0.032191332,0.019628184,1.041342,-0.031333014,0.019880587,0.011553234,0.033038404,-0.013962116,1.1190181,1.0655999,2338.8745,60.881653,-68.577576,151.69824,11.906723,42.070152,0.00025420572,94.32072,3171.9578,DDOS-RSTFINFLOOD
22.449982,6.38407,63.290634,12907.906,1.0655932,-0.0026023635,1.0141243,0.035878576,-0.024950972,0.0631176,0.051731713,-1.2782743,-0.11844668,19.90435,19.918653,0.08887608,-0.0044146352,-0.083971165,-0.04288169,-0.009215091,0.044096828,-0.007201689,1.0672625,-0.012541455,0.018828752,0.05216446,-0.0031264173,-0.022124248,1.0326872,1.0386583,9288.225,60.774544,276.47696,71.74313,78.025955,41.462696,-9.5818876e-05,99.24654,25704.828,DDOS-RSTFINFLOOD
