Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
20.435467,5.8904204,62.889454,7325.5117,-0.058421895,1.0018216,-0.044365138,0.004097935,-0.034706935,-0.0012884004,0.0164099,-1.9810944,39.787632,0.029905416,0.08851531,0.10409702,-0.010167457,0.0387771,0.045769926,-0.024206255,-0.017728768,-0.024853127,1.0057572,-0.0064473464,0.011705285,0.015177163,-0.053847224,-0.08088715,0.9931892,1.0065653,5695.344,60.279526,174.93773,60.960526,31.717827,73.43553,9.633096e-05,100.26071,8774.876,DDOS-SYN_FLOOD
21.033932,5.6673384,63.367325,35750.83,-0.054350585,0.94073087,0.06430541,0.0045014285,0.06710805,-0.014442252,-0.033248406,0.87382185,39.46038,0.11881521,0.18111326,0.12157753,-0.0030236987,0.0104603255,0.034676824,-0.10820057,-0.015087731,0.03251312,1.0692985,0.013455615,0.042351555,-0.024160948,-0.05647596,-0.025220256,1.0387249,0.96976334,7655.9487,65.6053,448.70624,116.75683,180.5358,117.958405,0.00023594729,100.743286,111641.52,DDOS-SYN_FLOOD
18.654957,6.83435,62.95386,12424.731,-0.039776493,0.9703593,-0.060689878,0.0027537516,-0.09565371,0.011403548,0.01967652,-1.559823,39.704777,0.12962568,0.045434967,0.1052013,0.0018117536,0.04104759,0.012685209,-0.001936066,-0.0028661848,-0.032655604,0.9535444,0.061010163,-0.017001435,-0.009736977,-0.039399173,-0.028720312,0.98799396,1.0055625,7935.746,60.234756,80.6373,59.742584,23.435833,66.503716,0.00019228368,100.16546,9141.402,DDOS-SYN_FLOOD
21.057533,6.48379,63.619972,6517.8105,-0.013523407,0.99933094,-0.022145253,-0.003120567,-0.04641945,0.0379458,0.0025584246,-1.6235857,39.780933,-0.04483112,0.13792591,0.068048954,0.0012793838,0.028435685,0.013027079,-0.0009947922,-0.0075617847,-0.018314058,1.0023528,-0.0027078686,-0.035077177,-0.003016009,-0.037068147,-0.012354002,0.97140366,0.9743601,6092.2036,60.216316,18.225311,64.80488,-2.1470833,72.57765,3.6853555e-05,99.873604,5993.165,DDOS-SYN_FLOOD
19.86299,6.969179,64.81001,40863.06,0.0013742689,1.0047089,-0.008820327,0.0025271089,0.012603492,0.061326876,0.010348669,6.394992,39.86855,-0.04650101,-0.012101307,-0.002300269,0.0057283435,-0.0050107995,0.07873521,-0.0013288716,-0.034592044,-0.030657038,0.97478515,0.030535225,-0.017844569,0.008882371,-0.043496616,-0.05944076,1.0177002,0.9419159,10813.631,61.40922,438.08215,88.58374,79.84016,119.744064,-0.0001496462,104.43939,17669.373,DDOS-SYN_FLOOD
19.793272,5.6415925,63.601273,5706.093,-0.059500717,0.9700908,-0.036793057,0.0033098224,-0.02419653,0.037495974,0.0270928,-0.07120323,39.72605,0.023675345,0.1211555,0.12519032,-0.01543994,0.023945553,-0.0048135594,-0.023575986,-0.0008108979,-0.04805349,1.0016025,0.0017985889,-0.028345723,0.030303687,-0.042614263,-0.05287736,0.97360957,1.0071177,9633.334,60.754913,167.70216,54.363976,32.835068,81.37783,0.0003221953,102.33002,15448.809,DDOS-SYN_FLOOD
20.321842,5.4063945,63.514496,6906.6914,-0.04504346,0.9517274,-0.017306412,0.02161852,-0.029673947,-0.0019825501,0.008841387,-1.2680106,39.302773,0.33174574,0.44345784,0.1425494,-0.006452836,0.016627215,0.012431369,-0.031616915,-0.007113907,-0.001287763,1.0249685,0.0024270748,0.012249275,0.0015409873,-0.026828218,-0.039786775,0.9842157,1.0009693,8795.521,60.765934,171.28255,66.5429,24.585789,74.19961,0.00015954368,97.94411,6935.8364,DDOS-SYN_FLOOD
21.732191,5.4838386,65.996574,5146.0166,-0.0058627035,0.9621269,-0.047681887,-0.014230701,0.07919948,-0.011350501,-0.017611938,0.77771306,39.589607,0.17226854,-0.041985378,0.15626626,-0.01157464,0.017073058,0.01923761,0.005691657,0.008944947,-0.0001749117,1.0442308,-0.033179183,0.013193884,-0.006851512,-0.017734468,-0.028083203,1.0163405,1.0282148,5634.792,61.8448,89.11752,46.33251,21.889576,34.10163,0.00012486926,95.178024,811.7774,DDOS-SYN_FLOOD
19.919123,5.5222144,63.655598,14716.773,-0.017629437,0.96582633,0.021273533,-0.001195779,0.04671695,0.0037869993,0.010920497,0.31625086,39.66732,0.5160366,0.064548224,0.15143204,-0.028147299,0.044803925,0.010048979,-0.060390934,0.03130547,-0.01792962,1.0442022,-0.04734714,-0.007830943,0.008643711,-0.00043822452,-0.040174805,1.0061759,1.0079399,8082.87,60.689667,102.78375,66.66191,7.7992153,75.517075,0.00016422442,100.85214,-1964.6003,DDOS-SYN_FLOOD
19.085804,5.78936,63.718384,39830.598,-0.04003489,0.9136209,0.010991249,0.009987198,-0.008246753,0.0034785392,-0.013399473,-1.1457336,39.272194,0.08694257,0.8882158,0.11042133,0.00013537705,0.021076694,0.007440815,-0.070116945,0.020664211,0.016634488,1.0271162,-0.0082971845,0.027849348,-0.008542446,-0.0509,-0.041058503,1.0192405,0.9521295,6742.2944,60.763382,124.45013,79.098625,34.157745,73.6963,9.72156e-05,101.84541,1466.0017,DDOS-SYN_FLOOD
21.125568,5.770249,67.00028,38785.78,-0.0016270671,0.94831926,0.012756618,-0.009650952,0.11696991,0.008064312,-0.022823974,2.9388328,39.607014,0.10449828,1.0190488,0.072435185,-0.052770007,-0.006811628,0.013204897,0.0012345798,0.02835542,0.029746082,1.0423326,-0.030130811,0.017268226,-0.0024536555,-0.04446481,-0.024916869,1.0317929,0.9812845,7408.434,60.32307,-0.07362366,96.12423,8.005991,89.00197,-0.00043241557,94.367645,1879.9082,DDOS-SYN_FLOOD
18.639112,5.7093115,63.367435,61401.613,-0.023107454,0.91253537,0.019734345,0.025858736,-0.011134557,-0.013317401,-0.0013752142,-0.40498066,39.28103,0.28948498,1.7822208,0.17701887,-0.018399775,0.02440784,0.041596092,-0.03736713,0.0034526642,0.042642687,1.0176917,-0.0016492234,0.0025660358,0.0029712496,-0.02789068,-0.034103036,1.0085603,0.99937534,8879.939,60.286514,147.50085,88.56338,33.763435,81.24189,0.00015100499,100.672676,2598.0344,DDOS-SYN_FLOOD
21.02272,5.8263836,62.981308,6460.3545,-0.06355031,0.9871008,-0.029827485,-0.00839283,-0.060171783,0.03961741,0.031018851,-2.041565,39.793556,-0.09687242,-0.04564987,0.07325507,-0.011622669,0.014209377,0.01108104,-0.020570343,-0.018108726,-0.04750692,1.0112964,0.019246161,-0.022371083,0.0060559507,-0.03848033,-0.06722573,0.9974648,1.0050074,7505.8003,63.045498,198.0087,71.20951,29.133888,67.802734,0.00023459607,101.82844,3814.2776,DDOS-SYN_FLOOD
20.136509,5.128602,62.6916,8902.344,-0.041408226,0.980477,-0.013151365,0.008543064,0.010522714,-0.005699588,0.02436226,0.6548655,39.5878,-0.0015822425,0.12824471,0.12217078,-0.0032183372,0.0030797068,0.035681143,-0.01961652,-0.021396307,-0.022015246,1.035679,-0.03881687,-0.019532729,0.034618568,-0.019134846,-0.01322531,0.97153825,0.98834175,7589.717,60.244625,42.22249,61.706146,18.03549,62.81812,7.405918e-05,99.59838,-6026.506,DDOS-SYN_FLOOD
18.027025,6.5854807,64.13968,8117.133,0.0061824173,0.93867266,-0.0007717777,-0.00028560683,-0.052332,0.011370663,-0.002411243,-0.93834186,39.463074,0.033128995,-0.029481126,0.103199296,-0.0012044365,0.008872104,-0.0009897584,-0.009786579,-0.0025784224,-0.011366139,0.9696253,0.046811007,-0.0017224508,-0.015133517,-0.019467602,-0.021911543,1.0023692,0.9764753,9366.421,60.32887,184.37738,100.685776,40.37225,93.06583,0.00022040617,98.49784,8839.272,DDOS-SYN_FLOOD
19.20126,6.220925,63.584496,4022.4744,-0.010728314,0.873768,-0.012138569,0.004053982,0.043170407,0.0021283883,0.013816876,2.516063,38.640095,0.46865475,0.058278147,0.20470282,-0.004180921,0.026388709,0.020237308,-0.0004922878,0.012760366,-0.023846257,0.988908,0.012512867,0.010783397,0.013166693,-0.010342462,-0.031306904,0.9922385,1.0003308,8890.999,61.066048,223.91801,61.799576,48.229057,70.064804,0.00017148766,96.946075,6303.778,DDOS-SYN_FLOOD
19.933416,5.171757,63.470634,7728.1904,-0.016055318,0.9800092,-0.04346578,0.0067456164,-0.011640711,0.010069347,0.021816464,-0.43449616,39.40804,0.010657794,0.01967488,0.13488321,-0.0068916464,0.015915867,0.016470706,-0.010863481,0.0033783726,-0.018815571,1.0593361,-0.017018147,0.0145203695,-0.0021539873,-0.016384186,-0.005697673,0.97944534,0.98769826,10193.422,61.31966,104.25332,69.439316,6.849231,78.688095,6.384244e-05,100.55204,6747.2124,DDOS-SYN_FLOOD
19.933786,5.837927,64.48684,10270.246,-0.0059320778,0.9524619,-0.011969524,0.0048030484,0.022496216,0.0063230544,-0.012565785,1.543144,39.423985,0.18058577,0.029449116,0.13507208,-0.008110229,0.022836542,0.031276766,-0.028913982,0.0069702324,-0.013299121,0.999454,-0.0049595265,-0.009472397,0.00062302337,-0.035329044,-0.031280454,0.99791366,1.0006171,7454.2427,60.48648,160.94397,52.256023,27.166113,63.678207,6.179615e-05,100.12036,-92.50189,DDOS-SYN_FLOOD
19.517668,5.877485,60.081905,6129.5913,-0.062342364,1.0116357,-0.04703037,0.017623937,-0.069187865,0.033323918,-0.0011862256,-2.188551,39.776844,0.010159182,-0.023293652,0.10427039,-0.027160674,0.042246044,0.026115207,-0.0049301283,-0.015919251,-0.02759385,0.99636203,0.03996421,-0.01224246,0.012331414,-0.009581888,-0.041378386,1.003391,1.0172833,8264.313,61.136005,257.2158,102.11334,57.67145,84.21969,0.00021579726,100.91063,16424.295,DDOS-SYN_FLOOD
