Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
7.4181147,16.4388,61.221622,25364.045,-0.006372677,0.011904252,0.024898332,-0.0008639432,-0.07371862,0.03077687,-0.011183001,-0.63755465,0.14032075,0.0060795434,-0.0055505894,-0.024668759,0.0111393295,0.0008305488,0.022170635,0.002251286,-0.007313911,-0.011035524,0.018440545,1.0022905,-0.01930486,0.018179096,-0.008556204,-0.0034894329,1.0080479,0.9693587,4373.538,60.481842,25.20192,37.91553,11.124229,53.314472,0.00018555301,99.98579,-2520.5798,DDOS-UDP_FLOOD
8.086541,16.518286,63.86807,34751.266,0.010003661,-0.011528338,0.008470597,-0.0027140884,0.0016489485,0.006625427,0.0012057833,-0.4979018,-0.32319587,0.008251145,-0.03760501,0.019725421,-0.01841198,-0.0071015763,0.01597102,-0.0014401088,0.012972567,-0.007297997,0.06303251,0.9634082,-0.021600474,-0.00027835835,-0.034322012,-0.037193332,1.0335834,0.99349284,8335.394,59.43837,43.018265,80.771805,-7.27721,90.2739,9.924862e-05,96.715744,-291.1101,DDOS-UDP_FLOOD
7.0601244,16.897533,64.44907,28422.482,0.0040104613,0.002122394,-0.004110504,0.0028526187,-0.039761715,0.0033442192,0.011856599,-0.6101048,0.05214815,0.05366711,-0.031015102,-0.044186972,0.0038754984,0.009166476,0.016014047,0.00253418,-0.0022858917,-0.0024553621,0.006261468,1.0103045,-0.021241885,-0.004806686,-0.005633277,-0.0054229423,1.0348728,1.0054945,8430.6875,60.822777,69.54408,80.03345,9.113535,67.51012,0.00013466622,98.26061,-1981.6665,DDOS-UDP_FLOOD
8.680757,15.735642,63.977367,42391.21,0.0038328767,0.0026988669,0.015976071,0.0032635548,0.0026158718,0.010033274,-0.0027909712,-0.11399305,0.042835977,0.024942424,-0.043441173,0.018633494,-0.0140033215,0.0037665153,0.023228865,0.017504785,-0.0066268235,0.00065457076,0.06382942,0.95748585,-0.019543173,0.0016512559,-0.029133547,-0.027481347,1.0367663,0.997944,6833.3423,59.737274,42.27672,81.07737,16.541327,80.72034,0.00011762711,99.42218,4743.4663,DDOS-UDP_FLOOD
10.729929,14.95991,63.56294,59119.48,0.004633954,0.06600733,-0.008837024,-0.0066961544,0.02847653,-0.0013793795,-0.0072245016,0.2715391,0.7138547,-0.020281907,-0.0043620355,0.012783761,0.0060168817,0.03167501,0.012228751,-0.032643087,0.009497836,-0.044412572,0.12203318,0.9089657,0.0021194783,0.0135198785,-0.06964095,-0.019313538,1.00169,0.997287,6378.2886,60.149586,-2.9165802,70.62618,4.270509,86.26016,-2.6775975e-05,106.26477,6207.398,DDOS-UDP_FLOOD
9.668593,15.665752,64.5453,56581.87,-0.01595072,0.006084159,0.0056525273,-0.0041795424,0.04085668,0.011004199,-0.032708082,0.18773675,0.16557568,0.040449686,-0.12403314,0.020823117,-0.014974581,-0.008918004,0.018665869,-0.017608352,-0.0056755636,0.004152688,0.0828771,0.92881256,0.0069216522,-0.022598978,-0.01604226,-0.034373183,1.0546926,1.0148935,7240.0645,61.27224,73.73802,75.453026,8.121214,100.480156,-0.0003560157,102.917244,-4205.0776,DDOS-UDP_FLOOD
8.386784,16.326801,65.28274,29249.775,0.028531728,-0.023032239,-0.019258058,-0.0152726425,0.018509142,0.0044075022,0.019515961,-0.47107446,-0.43291077,0.10133478,-0.07661833,-0.023330089,-0.002003913,-0.009704557,0.011421434,-0.0030838745,0.00028213486,-0.014312835,0.05750674,0.98475957,-0.023657521,0.009118976,-0.004386883,-0.029211005,1.0389347,0.998899,7477.717,60.16579,-4.4791565,74.67404,-13.378811,60.95653,-0.00010246558,96.94204,-8477.929,DDOS-UDP_FLOOD
6.862446,16.7118,63.856594,18923.412,-0.0058793835,-0.003379949,-0.015135779,0.0045717224,-0.033717558,0.02221029,0.017714001,-0.62746537,-0.1036135,0.063092425,-0.052764148,0.00084243715,0.0038868457,-0.010957507,0.008762366,0.01159564,0.01085957,0.03149199,-0.0065948963,0.99137247,0.011211332,0.009846998,0.010551963,-0.046638157,1.0178599,1.0030053,7033.6304,59.093212,202.82144,52.362103,26.785374,63.09335,0.00024974858,95.13485,637.7229,DDOS-UDP_FLOOD
8.064406,16.23042,63.474472,22150.955,-0.015160309,0.0047600255,-0.015510663,0.0013335849,-0.03534124,0.03675937,-0.0017253589,-0.6807287,0.06501952,-0.01283163,-0.08672867,-0.0019568717,0.00026063435,-0.005585812,0.01850964,0.011352807,-0.011263588,-0.014553193,0.023169816,1.0152189,0.026068479,0.01772422,-0.028938407,-0.010042879,1.0296446,0.9830543,6954.257,60.586372,88.944534,64.46795,9.972104,89.93504,-4.0206287e-05,103.61008,7985.231,DDOS-UDP_FLOOD
9.625066,15.369752,64.122246,48204.254,0.018259663,0.015165222,-0.032361828,0.0022434695,0.020313751,0.019213317,0.00071158167,0.15111667,0.40609822,0.02570026,-0.077760145,0.0015044678,0.009093686,0.023938037,0.013862055,-0.026794475,0.0005886005,-0.008487589,0.052843392,0.94193536,0.012727246,0.046658203,-0.03570135,-0.036894508,0.98998517,0.9860359,6760.4365,60.382847,-39.82538,46.4913,-38.068577,53.881927,-3.7375503e-05,102.5433,-15699.555,DDOS-UDP_FLOOD
8.902958,15.774806,62.89918,36523.11,0.005365368,0.004888156,0.018581066,-0.0031591647,-0.017323129,0.027391028,0.01404356,-0.010863304,0.036658116,0.04152009,-0.06138669,0.027059672,-0.019492898,0.0058012176,0.013288392,-0.0077743917,-0.010841786,-0.0065399334,0.07550329,0.9421407,-0.023702603,0.022003224,-0.015380514,-0.025260601,1.0263021,0.9658976,6148.0195,59.949127,5.6453094,46.922398,0.4207096,54.297974,2.9578936e-05,97.63368,-2295.708,DDOS-UDP_FLOOD
5.955512,17.623947,62.99302,33472.9,-0.015884746,0.0019017825,0.015944645,0.0019605637,-0.09811702,0.032224834,-0.01962606,-0.51159346,-0.030388303,0.016676463,-0.053077847,-0.065910555,0.009672723,0.0034320075,0.0073338295,0.024693303,0.0021364028,0.0029146671,-0.05390781,1.0497018,-0.011147988,-0.006087611,0.009667006,-0.009473124,1.0460218,1.0065209,7670.423,62.782757,129.794,77.6042,24.904762,83.658745,0.00014877807,95.558365,-4742.861,DDOS-UDP_FLOOD
8.658236,16.069967,64.205345,34746.984,0.03892447,-0.00031666085,0.008736371,0.0045896987,-2.0919368e-05,-0.0027485227,0.013722412,-0.18475187,0.036532648,0.31843007,-0.006878525,0.029872963,-0.0017946676,0.0022636773,0.014697593,0.0055407733,0.010215583,-0.019318013,0.053198695,0.9510284,-0.024405409,0.015745685,-0.023729559,-0.025690157,1.0170505,0.9944194,8258.423,59.49959,12.081726,73.64357,-3.2110596,75.79743,9.820961e-05,98.11391,-1331.8218,DDOS-UDP_FLOOD
8.951049,15.183033,62.279194,28676.457,-0.002923496,-0.0031053734,0.0076826774,-0.0051945033,0.022070587,0.0076409406,0.01126296,-0.091738224,-0.11037724,0.020938192,-0.062462594,0.028508512,-0.016709752,-0.026168078,0.021056242,-0.023431357,0.00081301667,-0.009876624,0.092170596,0.9285107,-0.013291016,0.035829276,-0.024529483,-0.01931936,1.0141171,0.9623575,8446.657,60.046284,38.973938,91.464645,-5.922714,97.74868,7.0473936e-05,101.27019,1927.6189,DDOS-UDP_FLOOD
10.246064,14.545395,63.639626,64393.004,-0.039008956,0.005950366,-0.001095701,-0.005777229,0.086342774,0.019748526,-0.034834493,0.63070524,0.045207273,0.050508216,-0.0021002255,-0.02539042,0.009966515,-0.023626491,0.0028260285,-0.010679955,-0.0045077316,0.0017481204,0.1374948,0.8853423,0.00626632,-0.035420157,0.016834956,-0.0009178184,1.0410851,1.0027307,8157.367,64.97717,112.66535,88.91609,22.922712,92.10542,-0.00019866518,107.392296,3618.8816,DDOS-UDP_FLOOD
