Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
20.460938,9.81629,91.16554,209.47705,0.05939161,0.08078139,0.026198976,0.21745346,0.5086942,0.0017187331,0.01160062,4.2906156,0.7916428,0.40908456,0.20504212,0.04834849,0.061810862,0.05920058,-0.0065042125,0.048993956,0.11306205,-0.03657159,0.61836755,0.35767794,-0.007289254,0.01366191,-0.042156655,-0.022316668,1.0103103,0.9970248,3251.6943,59.363113,180.69472,132.52396,36.31334,156.69818,0.0023671584,13.895767,-14447.416,DICTIONARYBRUTEFORCE
32.18496,4.173024,90.78544,1868.4487,-0.03502534,0.14509119,0.016365947,0.2974144,0.8803892,-0.0123923635,0.038818944,10.583795,1.1246985,-0.3233647,-0.07303488,0.16261204,0.34222677,0.0484396,-0.008144517,0.044493176,0.12136862,-0.0008748146,1.0163357,-0.031988572,0.01590986,0.038831584,-0.024629133,-0.012177498,0.9681201,0.9593665,-3244.084,64.08528,1284.2887,279.72537,444.03897,292.6046,0.0064884075,11.233482,218723.8,DICTIONARYBRUTEFORCE
25.376663,8.390375,57.53885,213259.84,0.029707717,0.32451096,-0.09103468,0.07899222,0.39784837,-0.0038896077,-0.06649344,3.7287586,2.7581275,0.41931573,-0.19305238,-0.034821823,0.06964273,0.069721,0.032072064,0.045935456,0.14924972,-0.01849383,0.61098933,0.2975973,0.05134629,0.08746412,-0.069304116,-0.024520017,0.98948914,0.9997318,-2557.8604,62.261425,170.6268,0.7105789,41.326744,44.969925,0.0050027114,13.893089,-11708.674,DICTIONARYBRUTEFORCE
28.452106,4.3928866,106.87303,6171.3486,0.09717532,0.049534835,-0.008998333,0.4388961,0.8870426,-0.018844407,0.018538104,8.1190815,0.423986,0.73505974,-0.0718318,0.21006891,0.08818304,0.03776922,0.0126533015,0.007398943,0.15377176,-0.032592945,0.9107159,0.0017787964,-0.0019483129,0.025558848,-0.0014915038,-0.02005675,1.003409,0.99474955,1533.9829,61.468365,530.99524,157.50491,178.64154,162.86502,0.007113323,6.901123,45174.543,DICTIONARYBRUTEFORCE
27.625784,4.1285458,79.295235,58846.914,0.07076367,0.025065431,0.16361889,0.060300972,0.9399565,-0.02926329,-0.06290725,7.8163857,0.7583937,0.46261325,2.3319397,0.035357825,0.33879712,0.059582368,0.040666185,0.031030819,0.16660863,-0.03687199,0.8458035,0.018261552,0.0046419934,0.09689588,0.0023588678,-0.035503946,1.0021782,1.0121766,-4309.0303,61.601444,-83.668335,128.3182,-3.295147,120.7374,0.012854812,4.966469,-22730.45,DICTIONARYBRUTEFORCE
30.297981,5.325822,94.65785,133260.92,0.16493244,0.042988177,-0.055041753,0.20885096,0.8608085,-0.06380203,-0.023219734,9.21203,0.445655,2.6070788,-0.13129635,0.2165969,0.06082387,0.09890207,0.024564829,-0.010141264,0.18038698,-0.05953543,0.8021506,0.07675968,0.017578766,0.054749392,-0.020725533,-0.04324658,0.99330485,1.053296,-129.78027,62.519726,216.5594,160.26389,66.236374,135.02507,0.003474131,9.209381,2619.0557,DICTIONARYBRUTEFORCE
24.017576,6.33734,53.815506,-566.0996,-0.0056070834,0.3208253,0.01734607,0.22389093,0.4566632,-0.023233611,0.010809045,5.801817,2.4247875,-0.19383223,-0.15445195,0.13118647,0.0268899,0.06469174,0.03980676,0.021670986,0.14178452,-0.030729804,0.76174,0.17280592,0.01276258,0.113882914,-0.040997878,-0.01947732,0.9486578,0.899879,-5107.425,59.785656,852.556,171.9296,321.41782,231.38406,0.014543858,6.4161377,167623.08,DICTIONARYBRUTEFORCE
20.509819,9.0050335,101.619934,-13935.318,0.009868256,0.05850202,-0.025282338,0.27394778,0.52054703,0.01303749,-0.057872865,5.0715694,0.7798829,1.1433053,0.2672051,-0.019840088,0.17199443,0.06919315,-0.060569536,-0.05301007,0.16770011,0.0026078103,0.5299152,0.41744727,0.034931365,0.07323216,0.053255655,-0.04717672,0.8939141,0.95268595,-1492.4097,59.82857,182.85086,-14.001884,72.751686,16.643562,0.020853452,8.070709,3135.9465,DICTIONARYBRUTEFORCE
27.079006,4.7353644,65.06476,-1407.8584,0.0006079301,0.14675501,-0.0008997787,0.23088399,0.72711676,0.0222472,-0.04901096,6.6933208,1.3380985,-0.13063404,-0.04486436,-0.102417134,0.67005897,0.07224611,0.00437716,0.04486674,0.09649204,-0.08917854,0.8180915,0.09611305,-0.022356514,0.121762276,-0.047050636,-0.025530677,0.9572777,0.9280136,-2014.0015,61.80709,799.459,387.53824,280.84512,444.7474,0.022143533,-0.3814392,114413.86,DICTIONARYBRUTEFORCE
28.906452,3.8446035,92.52713,1819.1956,0.029702812,0.13254243,-0.009090708,0.18246119,0.72330505,0.017275445,0.025271112,6.968937,1.1675069,-0.048730154,0.050514642,0.07284143,0.47809982,0.06663612,0.0360074,0.03451876,0.089266434,-0.026335755,0.84374726,0.0816043,-0.026291907,0.08138124,-0.0065552955,-0.049791113,0.9524622,0.91940725,-1489.3682,63.85319,100.67949,65.57313,32.422153,104.65995,0.022817772,7.104027,5609.727,DICTIONARYBRUTEFORCE
31.165012,3.5044768,100.216324,-147.62695,0.026822083,0.42152506,0.08717141,0.2862296,0.6762753,-0.03850207,-0.010504155,6.8553114,5.4195023,0.15110868,0.99605143,0.15900342,0.19480892,0.07923287,-0.026771922,-0.017851703,0.16821758,-0.021521498,1.0101578,-0.04787559,-0.00078234123,-0.011178054,-0.0074001956,0.052485123,1.0098631,1.0216999,9182.919,64.84102,1669.7794,494.47086,627.7626,499.6087,0.013110145,7.8115234,465934.22,DICTIONARYBRUTEFORCE
27.171387,6.5233054,69.804276,7956.6523,0.07099742,0.1487584,-0.012360067,0.10786747,0.638859,0.014882237,0.03267553,6.26287,1.3968573,0.1054852,-0.13400714,0.13844845,0.16835816,0.0738368,0.010796747,0.015494238,0.1313427,-0.026929498,0.7795586,0.16541055,0.0261955,0.050662313,-0.022816656,-0.011085653,0.99404013,0.96680826,-5333.4824,62.0236,313.46503,90.06716,90.25135,96.37976,0.005695174,8.053864,8231.22,DICTIONARYBRUTEFORCE
27.425327,4.85046,101.404816,3144.4873,0.056358743,0.024123011,0.048671514,0.16552092,0.87785494,-0.070444874,0.039056215,7.1693587,0.67269766,0.5189815,0.29531842,0.2768423,0.03802005,0.03735072,-0.0042726286,0.020518338,0.14829805,0.0031578029,0.84327936,0.039224155,-0.025161559,0.04053057,0.0065256283,-0.02875558,1.0183524,0.9899452,3487.71,62.07975,418.54712,222.0778,190.53925,186.37851,0.0050075357,4.580803,74201.13,DICTIONARYBRUTEFORCE
23.906479,7.5960593,88.957664,-2534.5732,0.014373094,0.069757774,0.1282988,0.21403985,0.6673786,0.026455456,-0.023804575,4.7445154,0.67634904,0.1132582,2.5299957,-0.15602756,0.7986545,0.05839249,-0.028532833,0.020354956,0.08233002,-0.05302216,0.7876782,0.194222,0.0010548811,0.084853016,-0.03515192,0.019325761,1.0054151,0.97112554,1277.0474,61.37607,123.97783,106.00832,49.01513,113.41571,0.010866371,13.504387,-10886.788,DICTIONARYBRUTEFORCE
33.838757,3.8167052,88.38193,7492.66,0.010922988,0.008349415,-0.00015276251,0.26239195,1.0876908,-0.030757448,0.010690702,10.787424,-0.10623109,-0.18428916,0.025347989,0.19340971,0.57529765,-0.028527562,0.014536567,0.041253064,0.1410856,0.016537203,1.0961132,-0.112602994,-0.0047112326,0.056409135,-0.003907741,0.026601141,1.0058979,0.9964807,4527.166,62.484997,1325.2164,461.30585,547.3665,484.1385,0.0023418588,9.356506,358829.56,DICTIONARYBRUTEFORCE
