Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
-0.5909977,48.873245,65.219215,3318.135,-0.0047267787,0.0004515238,-0.042210624,0.005996248,-0.06174867,-0.0073541114,0.006149411,-2.2511454,0.24279326,-0.013968924,-0.072888,-0.05472282,0.0025228714,0.009992634,0.055034127,-0.052636623,-0.01570274,0.008104107,-0.018746972,0.00071645156,-0.007572717,0.012000887,-0.039875224,-0.017852228,0.98588425,0.95755523,59707.434,155.55632,512.381,584.9696,23.69816,617.90576,0.00050054706,102.49682,-2896.0793,MIRAI-GREETH_FLOOD
1.2201347,44.567966,64.48042,3933.6782,0.0211238,0.00020329282,0.0043131597,-0.00859565,0.027060617,-0.006497295,0.05279339,-1.840261,-0.014980658,-0.014906319,-0.0790371,-0.011337799,-0.0124978265,-0.0016486039,0.02108742,0.0037703617,-0.0046479725,0.012551224,0.06582332,0.018357296,0.012238742,0.029046277,-0.044518936,-0.027618892,0.97996503,0.9633697,57094.086,98.76246,432.51636,543.2969,15.868077,549.98444,0.000103552564,96.95517,-7634.3086,MIRAI-GREETH_FLOOD
1.0655003,45.486546,64.878525,526.7241,0.007712403,0.002754735,0.0036966568,-0.010537327,0.027689617,-0.032189466,0.028439723,0.22285593,0.25501955,-0.028802108,-0.02345002,0.029354526,-0.0031837604,0.020302024,0.058632746,-0.0056217005,-0.0020403555,-0.022703262,0.043456912,-0.0017378033,0.014157461,0.018656807,-0.041508168,-0.03011579,0.9840875,0.97144395,54425.32,61.83252,512.16644,530.2879,67.31407,548.31116,0.00044791755,102.99868,2292.08,MIRAI-GREETH_FLOOD
-0.93904877,48.18564,64.30009,1439.9912,-0.008476217,0.019768817,0.0028000702,0.0021114044,0.059703648,-0.00821187,-0.014159132,6.982646,0.45407012,-0.024185384,0.08628966,-0.035161603,-0.018729327,0.0154428985,0.038293988,-0.020774499,-0.034799658,-0.047041815,0.018570721,-0.041948605,0.023434266,-0.0012068101,-0.0933277,-0.058327027,1.014602,1.0168533,64245.85,145.38797,797.3415,622.43396,64.167206,649.7272,0.00012682202,98.71853,1331.2361,MIRAI-GREETH_FLOOD
-2.4291267,47.768314,63.911606,8653.99,-0.040423702,0.0199993,-0.033112485,0.0039501996,-0.1595953,0.056132447,0.028305653,-2.289659,0.3565019,0.028135907,-0.120566145,-0.09500637,-0.0018933968,-0.042695984,0.013854297,-0.024560688,-0.027452942,-0.012931909,-0.059269667,0.110087655,-0.010004648,-0.025636137,0.0074390643,-0.0070912293,1.0167466,1.0164295,55870.1,176.05301,579.7838,595.64935,14.28359,617.9142,-0.00013909845,98.252594,-6617.232,MIRAI-GREETH_FLOOD
3.1432934,42.341,66.99513,1662.9067,0.03735454,0.041582525,0.0005800836,0.068282224,0.101535946,-0.034572523,0.037740476,5.736293,3.1186464,0.45423687,-0.028360933,0.00485362,0.027280584,0.03190383,-0.00338329,-0.0016838033,0.0076150005,-0.008066654,0.1300708,-0.0025340056,-0.0058039394,0.027707309,-0.02255664,-0.019890985,0.97095114,0.98129195,49608.664,64.64725,898.9278,481.76157,140.81805,511.3563,0.001269545,100.735275,28513.049,MIRAI-GREETH_FLOOD
2.4035664,43.342697,63.86147,5289.266,0.013137657,0.012945564,-0.009557804,0.0054955827,0.05364556,0.033641096,0.0402335,0.28494966,0.40786508,0.0017429143,-0.1384122,0.0329407,-0.020066235,0.021570502,0.017877957,0.0055880425,-0.02292668,-0.0015768316,0.121107936,-0.034310915,-0.0069573917,0.034436498,-0.019377626,-0.03526831,0.98449624,0.9823658,54767.16,60.307606,586.984,532.2136,85.01426,535.4174,5.1980023e-05,97.003845,12674.274,MIRAI-GREETH_FLOOD
-0.12752533,45.976402,64.98051,4065.528,-0.009783943,0.010127011,-0.011474259,0.0089327395,-0.008613618,-0.010683863,0.0385312,1.1193985,0.1503216,-0.042819846,-0.014858337,-0.008601443,-0.0037203466,-0.00796616,0.053437978,0.0058301305,-0.02634356,-0.002862201,0.028722823,-0.029656019,-0.011938737,0.021961737,-0.009283041,-0.006318437,0.98117524,0.9638163,63778.508,121.487434,646.1073,598.94415,59.246414,629.8579,0.00017424642,100.965164,7349.3413,MIRAI-GREETH_FLOOD
-0.35638046,45.97785,61.394608,3920.8003,-0.00856501,0.002050265,0.01916996,-0.0058833454,-0.031128695,0.012818996,0.04282475,-1.5345922,-0.036493756,0.12560692,-0.024051059,-0.079975784,0.0064680586,-0.011412603,0.012068354,-0.007460592,-0.012879649,-0.0071824943,0.04502642,-0.015196191,-0.03579874,0.06419105,-0.013464306,-0.0074117347,0.94870543,0.965281,59289.188,125.26733,516.94763,571.7127,47.19532,567.0662,0.000500764,99.91849,-779.3586,MIRAI-GREETH_FLOOD
-0.38523865,45.604824,64.69438,2787.663,-0.030658528,0.011449992,-0.016342513,-0.010252425,-0.014889393,-0.019842263,0.0318001,1.6210939,0.32967484,-0.019367574,-0.01170352,-0.087825164,0.011144387,0.015808998,0.029196214,-0.019490946,-0.0026887376,-0.021295652,0.0134902,0.012862983,-0.010191639,0.024071164,-0.040128917,-0.015189756,0.99761105,1.0045259,61175.543,147.9893,784.20764,588.82965,73.29881,578.3558,0.00040333025,101.43029,10165.213,MIRAI-GREETH_FLOOD
0.017375946,46.46553,65.35578,4935.772,0.009610522,0.0146447,-0.018712219,0.0017794851,0.005509561,0.0042173844,0.02517495,0.49346548,0.2601429,0.24029574,-0.06912021,-0.05077242,0.0038644604,0.026470784,0.022602636,0.0054727914,-0.03318202,-0.019494968,0.023132086,-0.024663096,0.0065330532,-0.011505381,0.0038562156,0.012812588,0.97448635,0.9790745,60669.83,98.88534,589.0764,597.2235,61.48942,602.80444,9.214053e-05,102.27279,360.31274,MIRAI-GREETH_FLOOD
-1.4076347,48.302055,64.78843,2208.8467,-0.029693132,0.008980981,0.0061468803,0.0008856486,-0.0213917,-0.010259812,0.020390207,-1.0625067,0.98855346,0.023657072,-0.067258894,-0.031923164,0.010689028,0.026260301,0.03130254,-0.012084799,0.0018213876,-0.028223634,-0.010736465,0.0054849265,-0.013302881,0.029767433,-0.028413273,0.015178654,0.9427234,0.9622844,59535.363,68.61221,474.99542,572.3627,57.30172,611.50195,0.00038975314,105.150024,-8964.977,MIRAI-GREETH_FLOOD
-1.9576416,51.323933,64.5232,2445.6743,-0.029101817,-0.0010879374,-0.025326906,-0.00855451,-0.043176748,0.0056686527,-0.009845559,-4.5257187,0.2959551,0.04664869,-0.04851114,-0.09536762,0.011130396,0.005416167,0.029880352,-0.07415214,-0.0022272603,-0.011023147,-0.02482009,-0.024952482,-0.0051350356,0.017219424,-0.07476857,-0.042751797,0.9644675,0.9696851,60503.582,143.5334,480.50458,603.50446,59.271194,611.7721,0.0006697962,102.599945,12154.992,MIRAI-GREETH_FLOOD
-0.36224556,47.106766,68.09156,2049.7014,-0.016956829,0.016314402,-0.017370598,-5.280599e-06,-0.023662815,0.035843953,-0.007157833,-0.9243195,0.7331649,0.021244466,-0.12898695,-0.028349325,-0.03138695,0.023481848,0.027208338,0.013744898,-0.03630509,-0.0020739017,0.010381997,-0.0013316497,0.024854511,-0.007316707,-0.036400355,-0.019288989,0.9870699,0.97470224,62669.145,115.33445,573.18933,638.3783,52.62692,640.6343,0.00018356874,99.46255,-2325.225,MIRAI-GREETH_FLOOD
-0.12264633,47.008198,64.14083,9661.966,-0.0044313166,-0.0009364038,0.0090634795,-0.0237894,0.0062967874,0.03406598,0.038094938,-4.111886,0.04985121,-0.066987835,-0.18495125,-0.06315834,-0.04554613,0.012541166,0.024815198,0.0010144059,-0.013042873,0.007988465,0.036532104,-0.0153023945,0.05530596,-0.0026079477,-0.05206249,-0.07118074,0.9880133,0.9578025,59424.234,109.33481,500.64987,575.8092,23.209265,551.51294,0.00017758296,101.29049,-12876.673,MIRAI-GREETH_FLOOD
0.069257736,47.86866,64.90503,2896.9878,0.014509179,0.011592903,0.013056498,-0.009894258,-0.0057818517,0.021680325,0.031417523,0.91495925,0.17428899,0.3798264,-0.07757485,-0.026360305,-0.015796611,0.012894871,0.015105234,0.024417669,-0.051308855,-0.043662935,0.025143325,-0.03766259,0.006500436,0.0017217372,-0.03523337,0.003807079,0.9783142,0.9966874,61318.98,129.41083,506.513,610.12115,31.784962,604.7246,0.00030409035,100.407265,-10008.711,MIRAI-GREETH_FLOOD
0.31347466,47.52288,64.38321,12211.801,0.008575291,0.00827222,-0.011618835,0.0034921807,0.049843445,0.008730596,0.024133531,0.9924261,0.07777607,0.09691618,-0.011698901,-0.03139493,-0.031948984,-0.009840353,0.02182049,-0.003508837,-0.030453939,-0.016462592,0.058324397,-0.07470878,0.024227334,0.009887674,-0.06709289,-0.055904634,1.0166533,1.0117382,61676.5,162.08017,457.31638,614.73206,20.252928,573.71826,0.00016454421,98.22919,8402.813,MIRAI-GREETH_FLOOD
2.0294895,44.44094,66.90835,213.68848,-0.0019866414,0.0019727268,0.0109189525,0.0024305813,0.037136637,0.015468811,0.013052776,1.980263,0.38268805,-0.021949103,-0.092039965,-0.03790625,0.012882826,0.034977276,0.00639705,-0.009012207,-0.0068453024,0.005948893,0.051867247,0.043964755,0.017701909,0.028619552,-0.037068598,-0.0066634826,0.973938,0.9635714,55611.188,60.217667,619.2467,550.662,101.30956,547.1241,0.0015942047,99.51935,19132.299,MIRAI-GREETH_FLOOD
1.9108028,45.247158,69.824135,-175.24951,-0.028336337,0.008811,-0.01079828,-0.01569568,0.084929526,-0.025980873,-0.021758704,5.327825,0.042409807,0.017546784,0.04672751,-0.03875364,-0.002751848,0.016767751,0.035807822,-0.012002824,-0.014556691,-0.029086025,0.09155077,-0.061329614,-0.008575769,0.009638597,-0.036114898,0.006719921,0.983758,1.0278559,58560.305,145.99455,576.2295,555.03265,24.335375,551.1612,0.00046238193,101.10335,-8302.546,MIRAI-GREETH_FLOOD
-1.6725426,48.62157,63.083813,8167.758,-0.01594043,-0.0077786758,0.01634313,0.0023439887,-0.09124389,0.016581252,0.043575913,-1.852128,-0.29610154,0.0948848,0.07841586,-0.1235661,0.05569729,0.0009808643,-0.0094671445,0.011436375,0.016517725,-0.05876619,-0.03818834,0.037864074,-0.0054104896,0.039699342,0.001316187,0.033898443,0.98297346,0.97985655,62430.047,118.3425,620.0449,599.526,30.59854,566.3704,1.0735312e-05,100.06734,-16442.27,MIRAI-GREETH_FLOOD
-0.9844742,49.449646,64.18636,10354.88,-0.023067575,0.016804604,-0.012428775,-0.0010209101,-0.029658077,0.012683532,-0.00949327,-0.9055058,0.2414631,0.023146877,-0.028486568,-0.043147378,-0.01760866,-0.016690876,0.02399037,-0.02960939,-0.045685314,-0.03537541,-0.008367658,-0.05198722,-0.0124826245,-0.0020760798,-0.03435769,0.0048246887,1.0243778,0.9987264,60455.73,169.71558,536.45593,579.9902,23.220722,590.4476,2.5103e-05,101.12167,8570.621,MIRAI-GREETH_FLOOD
1.5900364,45.74879,64.952515,6582.638,-0.0032734685,0.0077014226,0.011341678,-0.01355883,0.03671149,0.012251487,0.034742408,-1.3675301,0.20516357,0.036300883,-0.10815249,-0.0033600535,-0.02497436,0.010482174,0.033582088,0.035721824,-0.039268896,-0.0057085278,0.06709844,-0.058910973,-0.000825983,-0.011538003,-0.042024046,-0.03887045,0.99442357,0.9699104,58490.71,109.06007,472.06482,560.1934,-0.28157616,551.03094,-9.473923e-06,100.8484,-18238.63,MIRAI-GREETH_FLOOD
-1.1972427,44.143013,60.81122,7029.0283,0.009340792,0.004318797,0.037155595,0.009747884,-0.071845606,0.01952444,0.066963,-5.32622,-0.014225542,0.071371995,0.01198219,-0.058342047,-0.008299588,-0.033439606,0.04049077,0.008621676,-0.02005535,0.014055109,0.031221926,0.06362111,-0.041788463,0.058196668,-0.008915876,-0.015042981,0.9592761,0.94280285,55470.73,131.41565,453.17694,510.00757,9.774912,524.6354,0.0003668798,94.20688,-10308.466,MIRAI-GREETH_FLOOD
