Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
0.3017006,46.86942,64.13962,3979.8623,0.026752798,0.011690588,-0.0010864693,-0.010821384,0.015419198,-0.0016118819,-0.04062992,0.042420506,0.40055138,0.23663683,-0.054412834,-0.10704987,0.11732475,-0.008790348,0.039879676,0.008225496,-0.031525735,-0.035517447,0.026423812,-0.008801976,-0.018954052,0.028665764,-0.017044758,0.012699174,0.9673292,1.0310187,56922.77,144.3904,385.09473,524.9279,-30.828945,541.95215,0.00035797228,102.80379,-22177.633,MIRAI-GREIP_FLOOD
3.113247,44.301228,63.51599,2721.186,0.011826231,0.005067129,-0.018765813,-0.0001810547,0.06363348,-0.017856099,0.021168927,0.34226358,0.066002175,0.6999942,-0.025430102,-0.019945566,0.13194144,0.021489035,-0.0013270183,0.0015619816,0.00939059,-0.015900096,0.07198268,-0.027973862,-0.002950679,0.018099716,-0.023466025,-0.004308773,0.9972615,0.9842749,51226.09,69.06148,406.3506,489.1976,36.372406,475.6257,0.00048799074,99.22461,-12447.725,MIRAI-GREIP_FLOOD
2.1614838,45.86891,68.940155,4065.2668,0.021207964,0.001079697,-0.0024439115,-0.008918992,0.05590172,0.014338619,-0.0012225332,0.35877037,-0.026439127,0.22912937,0.03687127,0.035681367,-0.020772247,0.010968562,0.0027769431,0.00036523212,-0.012040575,-0.0605539,0.074382246,-0.021145556,0.004707377,0.018149508,-0.048557512,-0.030972969,1.0386662,1.0154692,54483.246,58.426487,391.71097,530.6338,5.1095095,513.9221,0.000309815,99.248726,-18636.305,MIRAI-GREIP_FLOOD
-0.40040016,46.369724,63.291893,6170.467,0.0041450094,0.0007983632,-0.010338277,0.011006295,-0.04622534,-0.0030572584,0.030967703,-1.6096148,-0.03784171,0.12955493,-0.09667608,-0.038159598,-0.02125188,-0.01920781,0.044449672,-0.01988149,-0.034146033,-0.023490952,-0.0073903203,0.006758952,-0.0361059,0.027775606,-0.011065899,-0.02316798,0.9959803,0.97500527,54760.12,171.50375,413.69952,483.50055,-23.204445,513.0197,0.00029520615,97.83212,-16266.284,MIRAI-GREIP_FLOOD
-2.8290577,52.19867,62.534157,2565.9917,-0.05093729,-0.0041493117,0.009159631,-0.014508125,-0.047013737,-0.010563783,0.058590144,-1.5009911,0.11765171,-0.00992502,-0.051932424,-0.032946713,-0.017045392,-0.05739203,0.040198117,-0.060157873,0.009962152,-0.04331907,-0.013211429,-0.07543196,-0.03506713,-0.01201742,-0.030399468,-0.075753585,0.99975693,1.0016662,62526.133,178.8139,578.38916,574.45575,-20.727863,615.25397,0.0005358904,110.31771,-3911.699,MIRAI-GREIP_FLOOD
0.8453045,46.819763,63.423637,4261.0586,-0.019497782,-0.0027404486,-0.021099707,-0.011582668,-0.011043014,-0.018500334,0.0294498,-3.0293808,0.21520475,0.101156786,-0.05725491,-0.03605203,-0.0058859326,-0.027655993,0.043702595,-0.05251262,-0.0017660973,-0.01783005,0.057443798,-0.02550733,-0.023003954,0.034641024,-0.051020477,-0.041188676,0.9896344,0.9744139,56304.742,161.29959,380.5114,510.7203,9.250729,525.36865,0.00052398926,101.485146,-1879.6936,MIRAI-GREIP_FLOOD
1.2706261,44.288177,81.73384,-522.3916,-0.03349557,0.042451397,0.0121106915,0.014938219,0.0012507653,-0.006380053,0.004591965,1.4418763,2.649952,-0.010951924,0.07164487,-0.015863111,0.0062395143,0.005557253,0.022720695,0.0058010826,-0.016258115,-0.052416604,0.06687504,0.045901936,0.008216099,0.023511408,-0.027843276,-0.03240981,1.0172502,0.9943303,50356.836,58.72344,513.06335,488.7191,68.87525,536.18665,0.000747973,97.607086,8287.184,MIRAI-GREIP_FLOOD
-0.5455189,45.752033,62.779827,4307.7183,-0.039127484,0.0053788926,-0.0066518225,-0.0019172182,-0.029615222,0.033505686,-9.8038e-05,-0.70203185,0.31456795,-0.028082933,-0.07598468,-0.07113857,0.009694465,0.015739003,0.027435593,0.006821081,0.017468572,-0.00111748,0.0032840967,0.017189493,-0.015203933,0.015924627,0.0072256844,-0.027825404,0.9529363,0.94581085,56305.87,72.44229,507.5304,544.8767,75.30913,540.60284,0.0004301946,101.84138,1555.4839,MIRAI-GREIP_FLOOD
0.22530746,44.89452,64.26353,1067.0056,-0.04262559,0.017874915,-0.004854179,-0.019666685,-0.007587604,-0.050199986,0.022610156,-0.26018167,0.35384133,0.06266542,-0.1203472,-0.087126166,0.0075728507,-0.017368346,0.041624725,-0.03846027,-0.014580676,-0.04130676,0.051267564,0.0040658596,0.010346951,-0.021087246,-0.028496288,-0.03952377,1.0234702,1.0440714,56477.203,177.49304,527.3371,527.11115,-3.972889,572.4511,0.00041498916,100.835365,4977.5864,MIRAI-GREIP_FLOOD
0.966177,46.513718,62.55438,4080.7502,-0.011235102,-0.0015160738,-0.007810988,0.005231775,-0.024028113,-0.012131789,0.034339078,-0.6952317,0.00406079,0.05308999,0.0041960552,-0.052244145,0.00053986907,-0.014718503,0.043677412,-0.018978061,-0.012069921,-0.021919888,0.038723946,-0.04089132,-0.029313767,0.058533456,-0.02437517,-0.03807679,0.97255415,0.97276974,56113.277,152.79346,480.4403,522.30383,21.40821,526.1466,0.00043348325,101.520706,-6363.6675,MIRAI-GREIP_FLOOD
