Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
18.183245,9.38375,74.14188,76563.234,0.1119464,0.32182202,0.08330724,-0.011488176,0.3081575,-0.046199072,-0.038342234,2.8566103,2.6874182,0.62983626,0.5504902,0.062090322,-0.0008744578,0.13122925,0.017134178,0.059480727,0.016137823,-0.033963703,0.53720546,0.30899286,0.026712239,0.07740819,-0.00399251,-0.00975198,0.9578695,0.93375707,7893.328,58.754807,-46.051056,144.16954,-39.22358,167.07951,0.011015745,11.935699,-25899.51,RECON-HOSTDISCOVERY
16.774885,10.696031,79.32065,2562.6304,0.07690184,0.25467402,0.047444202,0.053823,0.231564,-0.03982175,-0.009130967,2.3282413,2.086071,-0.0054346956,0.1604907,0.026590273,0.03233037,0.10509078,0.0069103623,0.030774018,-0.016281119,-0.044348814,0.46131793,0.45680636,0.008099374,0.048034705,0.0038328161,0.0020140968,0.96559507,0.9360383,1132.4663,59.45486,109.910645,142.81996,40.917393,140.91406,0.012902578,7.9087753,-150.94476,RECON-HOSTDISCOVERY
22.648643,4.6243076,130.63351,-2705.8667,0.033282235,0.32469758,0.44419014,0.035936113,0.6525815,0.011046758,-0.0010740524,8.842058,3.2941797,0.04225821,4.9075403,0.009713014,0.03962882,0.11478766,-0.009005125,0.07807195,-0.010868982,-0.058318038,0.93804705,0.011365356,0.004448879,0.059157092,-0.04150024,0.046019047,0.97138476,0.9587443,1331.3955,61.415535,7.722275,72.74882,-58.411087,56.252964,0.009371997,0.06539917,-33956.992,RECON-HOSTDISCOVERY
10.438102,13.334484,87.145035,919.7207,0.09688791,0.09353067,0.08098431,0.03398874,0.11793935,-0.019927543,-0.011564909,-0.04813814,0.76929235,1.4740664,1.5656669,0.05212046,0.013973631,0.16904989,-0.017702334,0.054367054,0.017873198,-0.02471272,0.25487918,0.6830702,0.011113422,0.09996674,0.010316459,-0.026129432,0.93693435,0.9704492,5906.1694,58.82584,141.37262,133.46796,48.80454,138.21571,0.01711777,12.14119,-8860.862,RECON-HOSTDISCOVERY
24.778603,5.8260694,91.14735,178.58252,-0.0019527227,0.38143253,0.3628441,-0.021154536,0.55499834,-0.02137224,0.017793156,6.2784243,3.909675,0.01897817,3.5704608,-0.010935724,0.21036373,0.031470653,0.033825703,0.029442964,-0.021862112,-0.010316171,0.9484122,0.00035871193,0.008022694,0.058278624,-0.00928779,0.0018230174,0.982216,0.93954784,2448.5203,62.59461,98.89525,82.4978,44.57286,118.13672,0.0031681724,11.850769,12911.521,RECON-HOSTDISCOVERY
21.454195,4.9787774,72.18752,-861.4331,0.052996904,0.53149027,0.3866369,0.08419038,0.40980786,-0.015813392,-0.07056522,3.1849835,5.1790924,-0.05460914,4.3444166,0.115847096,-0.047823675,-0.033032756,-0.037732746,0.025841603,0.032647047,-0.020675052,0.9466121,-0.028895529,0.021396289,0.04144916,0.008376598,-0.009870593,0.97864807,0.9732853,6400.5815,59.39602,132.69531,186.26277,79.28253,156.9854,0.0076051033,9.704765,12664.948,RECON-HOSTDISCOVERY
14.447346,12.173656,86.41135,141855.66,0.02801847,0.23899801,0.108000495,0.013309099,0.2829199,-0.077342905,-0.039017823,3.6528213,2.4150438,0.055377625,0.9998471,-0.14507535,0.19108756,0.13416967,-0.027331997,0.06272116,0.031895317,-0.047505416,0.40169358,0.5038537,-0.012656628,0.106968574,-0.049693514,-0.043744057,0.94387406,0.94413424,16.434082,60.442043,641.6207,526.2628,179.7439,522.03925,0.00992593,5.0846405,37066.684,RECON-HOSTDISCOVERY
30.40696,2.046721,94.89316,-3074.0752,0.08398365,0.5223147,0.1713545,0.32819578,0.7353202,-0.05459057,-0.016886698,9.652882,6.30564,0.9153608,2.3742914,0.010587085,0.5013552,0.050202966,-0.019563379,-0.029873328,0.06345058,-0.025089355,1.1860914,-0.2103803,0.007914423,0.014163904,-0.045393705,0.021564048,0.9648036,0.95978403,68.1499,59.93765,539.0259,84.57853,105.061806,73.03207,0.006328746,6.6752396,26480.82,RECON-HOSTDISCOVERY
25.257607,2.807273,65.77903,103258.164,0.024981815,0.7549357,0.0887324,0.1110305,0.42307845,-0.08378847,-0.09662003,6.860352,7.5131636,0.0148155335,0.61622095,-0.0096565895,0.18866791,-0.012992619,0.03227011,0.029709946,0.014204236,-0.046372943,0.9936703,-0.10325595,0.06332334,0.06878606,-0.052652452,0.012467461,0.9737694,0.93670464,61.20703,59.195183,301.88574,172.4673,37.733658,207.4505,0.011458579,4.5884705,-2061.8577,RECON-HOSTDISCOVERY
16.653866,9.698635,130.97708,-7016.1987,0.1007985,0.080079176,0.04565712,0.26899964,0.38281125,0.015134877,-0.054477345,4.40729,1.4250792,1.6971521,-0.015983801,-0.11844468,0.2550672,0.19105838,-0.028505974,-0.002731001,0.037474472,-0.07762918,0.41755354,0.53405637,0.023267848,0.03912391,0.029830053,0.043311834,0.95912117,0.9540601,529.0913,60.88462,249.8618,104.37887,85.28763,88.0102,0.018615454,6.9548798,-19237.648,RECON-HOSTDISCOVERY
